Age,Gender,Education_Level,Employment_Status,Income_Level,Location,Preferred_Learning_Style,Device_Used_for_Learning,Preferred_Study_Time,Courses_Enrolled,Course_Completion_Rate,Average_Study_Time_per_Week,Number_of_Assessments_Taken,Average_Assessment_Score,Forum_Participation,Peer_Interaction_Score,Instructor_Interaction_Frequency,Motivation_Level,Course_Satisfaction_Rating,Feedback_Sentiment,Certification_Achieved,Learning_Outcome_Status,Engagement_Level,Dropout_Risk,Course_Satisfaction_Level,Study_Efficiency,Assessment_Intensity,Interaction_Score,was_missing_Gender,was_missing_Education_Level,was_missing_Employment_Status,was_missing_Location,was_missing_Preferred_Learning_Style,was_missing_Device_Used_for_Learning,was_missing_Preferred_Study_Time,was_missing_Income_Level,was_missing_Engagement_Level,was_missing_Course_Completion_Rate,was_missing_Average_Study_Time_per_Week,was_missing_Number_of_Assessments_Taken,was_missing_Average_Assessment_Score,was_missing_Forum_Participation,was_missing_Peer_Interaction_Score,was_missing_Instructor_Interaction_Frequency,was_missing_Course_Satisfaction_Rating,was_zero_denom_efficiency,was_zero_denom_intensity
61,female,Senior secondary/Vocational,Employed full-time,2.0,Urban,Kinesthetic,Tablet,Evening/Night,2,0.0944824508478135,1.85296802973419,14.0,90.5651517959945,5.0,49.7851929607882,0.0,0.0,3.79922469900179,2.0,0.0,0.0,2.0,0.0,2.0,48.84936004477874,6.9965017491254375,49.7851929607882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,female,Senior secondary/Vocational,Employed full-time,1.0,Rural,Kinesthetic,Tablet,Evening/Night,4,0.0231840236227207,4.29533874973082,10.0,77.2477149023164,11.0,52.1690083858269,3.0,1.0,2.58407943596647,2.0,0.0,1.0,1.0,1.0,2.0,17.979893905515766,2.499375156210947,82.1690083858269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,female,Senior secondary/Vocational,Employed full-time,2.0,Urban,Visual,Tablet,Morning,2,0.120665644248998,8.28103483243938,12.0,72.4515673678808,6.0,43.690921755739,0.0,2.0,3.96531992500704,2.0,0.0,0.0,0.0,1.0,2.0,8.748039441237294,5.997001499250375,43.690921755739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,male,Senior secondary/Vocational,Student/Retired,0.0,Rural,Visual,Desktop/Laptop,Afternoon,6,0.157956231684513,5.18936605681371,11.0,63.0551784016905,7.0,63.0225913735106,2.0,0.0,2.23399140839464,1.0,1.0,0.0,1.0,1.0,0.0,12.148503152087725,1.8330278286952173,83.02259137351061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,female,Senior secondary/Vocational,Employed full-time,1.0,Urban,Kinesthetic,Mobile,Evening/Night,4,0.402725571567398,4.59930826032031,7.0,66.4305443019802,5.0,47.132144541598,6.0,2.0,3.2721442202837,2.0,0.0,0.0,1.0,0.0,0.0,14.440454974500943,1.7495626093476628,107.132144541598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,male,Associate/Bachelor,Employed full-time,2.0,Urban,Kinesthetic,Tablet,Morning,3,0.0674257586284129,5.50145608318145,11.0,61.3262772322103,5.0,49.9420053936344,8.0,0.0,2.0034211689253,1.0,0.0,1.0,0.0,1.0,2.0,11.14525519243258,3.665444851716095,129.94200539363442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,female,Senior secondary/Vocational,Employed full-time,2.0,Urban,Visual,Tablet,Morning,2,0.498739262260825,5.65332186383007,16.0,55.4759712564562,4.0,56.101749837291,4.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,9.811251038135707,7.9960019990005,96.10174983729101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,female,Associate/Bachelor,Employed full-time,2.0,Urban,Kinesthetic,Mobile,Evening/Night,2,0.2691267487434015,4.92672467181832,12.0,64.1014312256713,2.0,36.8167026788099,4.0,0.0,4.27669283102826,2.0,1.0,0.0,2.0,0.0,1.0,13.008322399233805,5.997001499250375,76.81670267880989,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
63,male,Junior secondary,Employed full-time,2.0,Rural,Kinesthetic,Tablet,Afternoon,0,0.3276771507259,5.33612606383248,6.0,65.6539845034306,6.0,42.1924755818583,2.0,0.0,3.72679657944241,2.0,1.0,0.0,0.0,1.0,2.0,12.301374132483172,,62.1924755818583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,female,No formal/Primary,Employed full-time,2.0,Urban,Auditory,Tablet,Afternoon,5,0.284062853326421,3.0932694343327,4.0,89.0541128891747,4.0,51.6762904223321,3.0,0.0,2.73286824564689,1.0,0.0,1.0,1.0,1.0,1.0,28.780335642742703,0.7998400319936012,81.6762904223321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,female,No formal/Primary,Employed full-time,1.0,Rural,Visual,Mobile,Morning,6,0.220786719124513,5.27223314932564,8.0,100.0,2.0,44.5181142991268,3.0,1.0,4.21143033364887,1.0,0.0,0.0,0.0,1.0,0.0,18.963697824130602,1.3331111481419762,74.51811429912681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,female,Senior secondary/Vocational,Unemployed,1.0,Urban,Visual,Mobile,Evening/Night,5,0.239141610975083,2.00276061108504,12.0,56.1393114202839,5.0,51.7002245704416,3.0,2.0,4.61810029691898,1.0,0.0,1.0,0.0,1.0,0.0,28.01697523632045,2.3995200959808036,81.7002245704416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,female,No formal/Primary,Part-time,1.0,Rural,Kinesthetic,Tablet,Afternoon,3,0.0744020561112166,7.10871319451657,8.0,61.1761221184836,10.0,46.3440198130138,3.0,2.0,3.31179392053996,1.0,0.0,1.0,2.0,0.0,2.0,8.604583679362232,2.665778073975342,76.3440198130138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,female,No formal/Primary,Employed full-time,1.0,Urban,Kinesthetic,Tablet,Afternoon,5,0.18094570977812,5.64551813934326,10.0,75.4984549134195,5.0,53.8907851434293,0.0,2.0,3.62693750383768,2.0,0.0,0.0,0.0,1.0,2.0,13.370798260147028,1.999600079984003,53.8907851434293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,female,No formal/Primary,Part-time,2.0,Rural,Auditory,Mobile,Evening/Night,2,0.433112687540376,5.07680112843207,14.0,71.5271634210951,3.0,51.1745233186957,6.0,0.0,2.12921065249031,0.0,1.0,0.0,2.0,0.0,0.0,14.086247494135584,6.9965017491254375,111.17452331869569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,male,No formal/Primary,Employed full-time,2.0,Urban,Kinesthetic,Mobile,Morning,3,0.277520488839901,6.57306641534713,10.0,89.3987500948614,4.0,37.6426631417071,1.0,2.0,2.88173446181599,1.0,0.0,0.0,1.0,0.0,0.0,13.598698955361996,3.332222592469177,47.6426631417071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,male,Senior secondary/Vocational,Employed full-time,0.0,Urban,Kinesthetic,Mobile,Morning,2,0.2691267487434015,4.92672467181832,9.0,51.2836532800423,4.0,33.8887922666534,2.0,2.0,5.0,0.0,1.0,1.0,2.0,0.0,2.0,10.40716693717361,4.497751124437781,53.8887922666534,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
25,male,Senior secondary/Vocational,Unemployed,1.0,Urban,Visual,Mobile,Morning,3,0.062853871614775,3.63620600347954,14.0,84.0561589430549,5.0,51.2604147289132,5.0,0.0,2.37799930822168,2.0,1.0,0.0,0.0,1.0,1.0,23.11009023482377,4.665111629456848,101.26041472891319,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,female,Master,Student/Retired,1.0,Urban,Kinesthetic,Tablet,Evening/Night,2,0.342499783768732,2.57081998076856,13.0,67.0897667544736,4.0,50.5330964517299,2.0,1.0,2.68901015791362,2.0,1.0,0.0,0.0,1.0,2.0,26.086494099958184,6.496751624187906,70.5330964517299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,female,Junior secondary,Part-time,2.0,Rural,Auditory,Mobile,Morning,4,0.294802390539493,7.44222558006856,6.0,73.2139171547143,6.0,48.5430006109262,5.0,0.0,3.13145726912245,2.0,1.0,0.0,0.0,1.0,1.0,9.836315770244319,1.4996250937265683,98.5430006109262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,female,Senior secondary/Vocational,Employed full-time,1.0,Rural,Kinesthetic,Mobile,Afternoon,2,0.25046839425709,2.69073137803735,4.0,68.6288670039933,6.0,49.2155333005396,3.0,1.0,3.03680703730534,2.0,1.0,1.0,2.0,0.0,1.0,25.496179731735857,1.999000499750125,79.21553330053959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,female,No formal/Primary,Part-time,0.0,Urban,Kinesthetic,Mobile,Afternoon,5,0.142545515433085,3.55382732152282,12.0,84.6022894795922,7.0,44.1331289225994,4.0,0.0,3.85700061223629,1.0,1.0,0.0,0.0,1.0,2.0,23.799268382845163,2.3995200959808036,84.1331289225994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,female,No formal/Primary,Employed full-time,0.0,Urban,Kinesthetic,Tablet,Evening/Night,7,0.188403188950561,3.47183768452383,4.0,74.9429272855623,4.0,51.2514084807065,2.0,0.0,3.37820727299596,1.0,1.0,0.0,1.0,1.0,2.0,21.5797379818625,0.571346950435652,71.2514084807065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,male,Senior secondary/Vocational,Employed full-time,1.0,Urban,Visual,Mobile,Morning,5,0.241124304400947,2.01856355714985,12.0,77.9799814535134,9.0,67.9707131849572,6.0,0.0,3.97835421567907,2.0,1.0,0.0,2.0,0.0,1.0,38.6122938183556,2.3995200959808036,127.9707131849572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,male,Junior secondary,Employed full-time,0.0,Urban,Kinesthetic,Tablet,Evening/Night,2,0.242240965573831,4.61225592520462,18.0,75.6168246151195,3.0,35.9629241781224,6.0,0.0,3.04980521388535,2.0,1.0,1.0,2.0,0.0,0.0,16.391205222755016,8.995502248875562,95.96292417812239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,female,Associate/Bachelor,Employed full-time,1.0,Urban,Kinesthetic,Tablet,Morning,1,0.2691267487434015,4.92672467181832,13.0,36.3872965798926,0.0,76.3522769368988,4.0,0.0,2.81189689215159,0.0,0.0,0.0,0.0,1.0,0.0,7.3841983883539015,12.987012987012989,116.3522769368988,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
47,male,Associate/Bachelor,Employed full-time,2.0,Urban,Visual,Mobile,Afternoon,7,0.332373612538412,3.28477147342902,16.0,59.4415718321399,2.0,56.5344830320773,6.0,0.0,3.6741676006153,2.0,1.0,0.0,1.0,0.0,1.0,18.090598300224112,2.285387801742608,116.5344830320773,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,male,Senior secondary/Vocational,Student/Retired,1.0,Urban,Kinesthetic,Tablet,Afternoon,3,0.164357284070757,5.80230733779909,9.0,56.1493931910257,5.0,51.4349485563579,3.0,0.0,2.63003581662834,2.0,0.0,0.0,1.0,1.0,0.0,9.675412643632349,2.9990003332222592,81.43494855635791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,male,No formal/Primary,Student/Retired,2.0,Urban,Visual,Mobile,Evening/Night,3,0.0861204316148523,2.64763678631051,7.0,91.3999986883194,3.0,45.9231312308001,1.0,2.0,2.97008208501315,2.0,0.0,0.0,0.0,1.0,2.0,34.50831732033651,2.332555814728424,55.9231312308001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,female,Junior secondary,Employed full-time,1.0,Urban,Kinesthetic,Mobile,Evening/Night,4,0.0640804377337757,7.04917764200986,9.0,83.5945030242145,8.0,54.2381147875206,4.0,0.0,3.86456374879699,2.0,1.0,0.0,0.0,1.0,2.0,11.85707754739403,2.249437640589852,94.2381147875206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,female,Senior secondary/Vocational,Student/Retired,2.0,Rural,Visual,Mobile,Afternoon,2,0.170132538496517,5.27582935053913,10.0,96.9670342333758,3.0,53.7507097154194,3.0,0.0,4.47359551954034,2.0,0.0,0.0,0.0,1.0,0.0,18.37600342779111,4.997501249375313,83.75070971541939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,female,No formal/Primary,Part-time,1.0,Rural,Visual,Mobile,Evening/Night,1,0.275669695547245,8.71914152286337,13.0,99.235317921269,8.0,47.957787686026,5.0,1.0,3.45546886841676,2.0,0.0,1.0,1.0,0.0,0.0,11.380012315291394,12.987012987012989,97.957787686026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,female,No formal/Primary,Student/Retired,0.0,Urban,Visual,Mobile,Afternoon,7,0.239332551432715,4.64547863421113,6.0,50.1293332245979,6.0,36.2209179190082,3.0,0.0,2.51559345016705,2.0,0.0,1.0,0.0,1.0,2.0,10.788671846138547,0.857020425653478,66.2209179190082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,female,Associate/Bachelor,Employed full-time,2.0,Rural,Kinesthetic,Mobile,Evening/Night,5,0.329659052343088,3.82875892126391,8.0,60.3600282793274,5.0,61.3373431097867,2.0,0.0,3.56528555786414,1.0,0.0,0.0,2.0,0.0,2.0,15.760790566787733,1.5996800639872024,81.3373431097867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,female,Senior secondary/Vocational,Employed full-time,1.0,Urban,Kinesthetic,Mobile,Evening/Night,1,0.376150081699118,4.74674926865362,8.0,66.9962297688468,4.0,43.4684714595892,3.0,0.0,3.84323293074742,2.0,1.0,1.0,2.0,0.0,1.0,14.111155829390666,7.992007992007993,73.46847145958921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,female,Junior secondary,Employed full-time,1.0,Urban,Visual,Mobile,Evening/Night,2,0.308855926343387,6.98282278439012,4.0,83.1695515031483,3.0,52.7922835985476,2.0,0.0,4.87530892635973,1.0,1.0,1.0,2.0,0.0,1.0,11.90888630350767,1.999000499750125,72.7922835985476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
